Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,image-left,image-right,audio
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,5223.300000012387,628,430,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,5239.400000020396,675,418,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,5255.300000018906,726,408,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,5271.500000031665,759,399,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,5287.500000034925,793,390,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,layer,playbackend,audio,,1543599681677.8,5294.300000008661,,,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5303.4000000334345,816,381,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5319.400000036694,831,374,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5343.40000001248,847,364,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5359.600000025239,853,360,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5375.500000023749,863,355,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5391.500000027008,872,352,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5407.500000030268,882,349,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5423.600000038277,887,349,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5439.4000000320375,892,347,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5455.600000044797,893,347,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5471.5000000433065,894,347,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,image-right,,1543599681677.8,5479.400000011083,895,347,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,click,image-right,,1543599681677.8,5599.199999996927,895,347,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,click,image-right,,1543599681677.8,5599.199999996927,895,347,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,click,image-right,,1543599681677.8,5599.199999996927,895,347,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,click,image-right,,1543599681677.8,5599.199999996927,895,347,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,click,image-right,,1543599681677.8,5599.199999996927,895,347,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,stage,end,,,1543599681677.8,5604.0999999968335,,,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,guitar,4_4DisfluentL,stage,end,,,75803.29999997048,0,,,t_guitar.png,d48.png,e_guitar_d.wav
16,4_4,anchor,4_4FillerR,stage,end,,,81338.40000000782,0,,,d42.png,fr_anchor.png,f_anchor_.wav
16,4_4,barrel,4_4FillerR,stage,end,,,81336.29999996629,0,,,d04.png,fr_barrel.png,f_barrel_.wav
16,4_4,lamp,4_4FluentR,stage,end,,,81340.8000000054,0,,,d33.png,t_lamp.png,e_lamp_f.wav
16,4_4,flower,4_4DisfluentL,stage,end,,,81343.20000000298,0,,,t_flower.png,d20.png,e_flower_d.wav
16,4_4,bow,4_4FillerR,stage,end,,,81334.19999998296,0,,,d01.png,fr_bow.png,f_bow_.wav
16,4_4,wateringcan,4_4FillerL,mouse,click,fixation,,1543599689367,0,501,366,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,click,fixation,,1543599689367,0,501,366,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,click,fixation,,1543599689367,0,501,366,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,click,fixation,,1543599689367,0,501,366,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,click,fixation,,1543599689367,0,501,366,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,click,fixation,,1543599689367,0,501,366,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,layer,show,image-left,,1543599689367,5.100000009406358,,,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,layer,show,image-right,,1543599689367,5.100000009406358,,,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,304.2000000132248,501,367,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,320.10000001173466,501,368,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,336.2999999662861,501,371,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,352.3999999742955,502,378,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,368.3999999775551,504,387,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,384.299999976065,507,396,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,400.09999996982515,509,405,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,416.0999999730848,511,412,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,432.19999998109415,512,417,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,448.09999997960404,513,421,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,472.20000001834705,513,424,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,488.29999996814877,514,424,fr_wateringcan.png,d51.png,f_wateringcan_.wav
